All Ordinaries Index (1 June 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
3PL,3P Learning Ltd,Consumer Discretionary,"104,613,000",0.01,,"1,861,203,198,900",
A2B,A2B Australia Ltd,Industrials,"95,140,200",0.01,,,
ABP,Abacus Property Group,Real Estate,"1,679,500,000",0.09,,Sector Breakdown,
AX1,Accent Group Ltd,Consumer Discretionary,"731,925,000",0.04,,Consumer Discretionary,7.17
ADH,Adairs Ltd,Consumer Discretionary,"318,710,000",0.02,,Consumer Staples,5.91
ABC,Adbri Ltd,Materials,"1,930,710,000",0.1,,Energy,4.57
AML,Aeon Metals Ltd,Materials,"60,303,700",0,,Financials,23.91
APT,Afterpay Ltd,Information Technology,"12,767,000,000",0.69,,Health Care,11.89
AGL,AGL Energy Ltd,Utilities,"10,537,700,000",0.57,,Industrials,8.28
AGI,Ainsworth Game Technology Ltd,Consumer Discretionary,"149,873,000",0.01,,Information Technology,4.11
AJL,AJ Lucas Group Ltd,Industrials,"57,421,800",0,,Materials,19.66
AQG,Alacer Gold Corp,Materials,"574,730,000",0.03,,Real Estate,6.9
AQZ,Alliance Aviation Services Ltd,Industrials,"333,972,000",0.02,,Telecommunication Services,0
ALQ,Als Ltd,Industrials,"3,401,100,000",0.18,,Utilities,2.42
ALU,Altium Ltd,Information Technology,"4,886,330,000",0.26,,,
AJM,Altura Mining Ltd,Materials,"137,367,000",0.01,,,
AWC,Alumina Ltd,Materials,"4,362,960,000",0.23,,,
AMA,AMA Group Ltd,Industrials,"460,852,000",0.02,,,
AYS,Amaysim Australia Ltd,Utilities,"94,435,300",0.01,,,
AMC,Amcor Plc,Materials,"14,532,200,000",0.78,,,
AMP,AMP Ltd,Financials,"5,756,300,000",0.31,,,
AGG,Anglogold Ashanti Ltd,Materials,"682,439,000",0.04,,,
ANN,Ansell Ltd,Health Care,"4,596,140,000",0.25,,,
APE,AP Eagers Ltd,Consumer Discretionary,"1,677,770,000",0.09,,,
APA,APA Group,Utilities,"13,592,400,000",0.73,,,
AQR,Apn Convenience Retail REIT,Real Estate,"310,397,000",0.02,,,
ADI,Apn Industria REIT,Real Estate,"480,242,000",0.03,,,
APD,Apn Property Group,Financials,"174,911,000",0.01,,,
ATL,Apollo Tourism & Leisure Ltd,Consumer Discretionary,"67,014,300",0,,,
APX,Appen Ltd,Information Technology,"3,750,440,000",0.2,,,
ARB,ARB Corporation Ltd,Consumer Discretionary,"1,378,670,000",0.07,,,
ALG,Ardent Leisure Group Ltd,Consumer Discretionary,"201,477,000",0.01,,,
ARF,Arena REIT,Real Estate,"722,310,000",0.04,,,
AGY,Argosy Minerals Ltd,Materials,"68,306,600",0,,,
ALL,Aristocrat Leisure Ltd,Consumer Discretionary,"16,908,600,000",0.91,,,
ARQ,ARQ Group Ltd,Information Technology,"11,968,800",0,,,
AHY,Asaleo Care Ltd,Consumer Staples,"545,838,000",0.03,,,
ASX,ASX Ltd,Financials,"17,015,100,000",0.91,,,
ALX,Atlas Arteria,Industrials,"5,802,580,000",0.31,,,
AUB,AUB Group Ltd,Financials,"995,077,000",0.05,,,
AIA,Auckland International Airport Ltd,Industrials,"8,864,760,000",0.48,,,
AD8,Audinate Group Ltd,Information Technology,"423,878,000",0.02,,,
AKP,Audio Pixels Holdings Ltd,Consumer Discretionary,"625,751,000",0.03,,,
AMI,Aurelia Metals Ltd,Materials,"310,264,000",0.02,,,
AZJ,Aurizon Holdings Ltd,Industrials,"9,180,470,000",0.49,,,
AC8,Auscann Group Holdings Ltd,Health Care,"55,483,300",0,,,
